Nr;Gebiet;gehört;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;CDU;;;;SPD;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;PIRATEN;;;;NPD;;;;Tierschutzpartei;;;;REP;;;;ÖDP;;;;FAMILIE;;;;Bündnis 21/RRP;;;;RENTNER;;;;BP;;;;PBC;;;;BüSo;;;;DIE VIOLETTEN;;;;MLPD;;;;Volksabstimmung;;;;PSG;;;;AfD;;;;BIG;;;;pro Deutschland;;;;DIE RECHTE;;;;DIE FRAUEN;;;;FREIE WÄHLER;;;;Nichtwähler;;;;PARTEI DER VERNUNFT;;;;Die PARTEI;;;;B;;;;BGD;;;;DKP;;;;NEIN!;;;;Übrige;;;;
;;zu;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;

231;"Neu-Ulm";9;237651;;;;;;;;;;;;;;;;;;;;;;29023;;;;7485;;;;5958;;;;10417;;;;84598;;;;2990;;;;2444;;;;1187;;;;580;;;;1732;;;;;;;;57;;;;;;;;986;;;;;;;;39;;;;185;;;;46;;;;;;;;;;;;8986;;;;;;;;139;;;;;;;;355;;;;2985;;;;;;;;174;;;;;;;;;;;;;;;;;;;;;;;;;;
232;"Oberallgäu";9;224278;;;;;;;;;;;;;;;;;;;;;;24776;;;;8749;;;;5574;;;;14329;;;;80902;;;;2431;;;;861;;;;1201;;;;1052;;;;2089;;;;;;;;161;;;;;;;;976;;;;;;;;30;;;;230;;;;35;;;;;;;;;;;;6695;;;;;;;;99;;;;;;;;290;;;;3918;;;;;;;;153;;;;;;;;;;;;;;;;;;;;;;;;;;
233;"Ostallgäu";9;244541;;;;;;;;;;;;;;;;;;;;;;24971;;;;7677;;;;5270;;;;11785;;;;91664;;;;2904;;;;1374;;;;1103;;;;587;;;;2593;;;;;;;;42;;;;;;;;2913;;;;;;;;28;;;;199;;;;30;;;;;;;;;;;;7991;;;;;;;;114;;;;;;;;382;;;;4537;;;;;;;;176;;;;;;;;;;;;;;;;;;;;;;;;;;
9;"Bayern";99;9472738;

234;"Saarbrücken";10;204905;;;;;;;;;;;;;;;;;;46513;;;;43329;;;;6246;;;;16268;;;;10910;;;;;;;;4110;;;;2582;;;;;;;;;;;;;;;;1560;;;;;;;;;;;;;;;;;;;;;;;;;;;;160;;;;;;;;;;;;6575;;;;;;;;233;;;;;;;;;;;;849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
235;"Saarlouis";10;211529;;;;;;;;;;;;;;;;;;60052;;;;46037;;;;5480;;;;13458;;;;7873;;;;;;;;3739;;;;2610;;;;;;;;;;;;;;;;1653;;;;;;;;;;;;;;;;;;;;;;;;;;;;71;;;;;;;;;;;;7645;;;;;;;;237;;;;;;;;;;;;1075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
236;"St. Wendel";10;181521;;;;;;;;;;;;;;;;;;54911;;;;40861;;;;4514;;;;12139;;;;6088;;;;;;;;3391;;;;2062;;;;;;;;;;;;;;;;1858;;;;;;;;;;;;;;;;;;;;;;;;;;;;58;;;;;;;;;;;;7287;;;;;;;;214;;;;;;;;;;;;810;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
237;"Homburg";10;198117;;;;;;;;;;;;;;;;;;50892;;;;44365;;;;5266;;;;14180;;;;7127;;;;;;;;3453;;;;2437;;;;;;;;;;;;;;;;2378;;;;;;;;;;;;;;;;;;;;;;;;;;;;72;;;;;;;;;;;;7784;;;;;;;;218;;;;;;;;;;;;930;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Saarland";99;796072;

238;"Berlin-Mitte";11;204085;;;;;;;;;;;;;;;;;;31544;;;;36403;;;;5134;;;;26068;;;;23329;;;;;;;;6608;;;;1234;;;;;;;;198;;;;319;;;;;;;;;;;;;;;;;;;;;;;;144;;;;;;;;145;;;;;;;;76;;;;5443;;;;473;;;;292;;;;;;;;;;;;304;;;;;;;;;;;;1686;;;;;;;;;;;;;;;;;;;;;;
239;"Berlin-Pankow";11;235344;;;;;;;;;;;;;;;;;;40617;;;;38030;;;;4380;;;;43472;;;;24300;;;;;;;;6767;;;;2597;;;;;;;;231;;;;416;;;;;;;;;;;;;;;;;;;;;;;;182;;;;;;;;146;;;;;;;;124;;;;8372;;;;84;;;;457;;;;;;;;;;;;665;;;;;;;;;;;;1984;;;;;;;;;;;;;;;;;;;;;;
240;"Berlin-Reinickendorf";11;182934;;;;;;;;;;;;;;;;;;52545;;;;34571;;;;5708;;;;10394;;;;11427;;;;;;;;3417;;;;1976;;;;;;;;310;;;;240;;;;;;;;;;;;;;;;;;;;;;;;75;;;;;;;;44;;;;;;;;50;;;;7906;;;;209;;;;449;;;;;;;;;;;;661;;;;;;;;;;;;1074;;;;;;;;;;;;;;;;;;;;;;
241;"Berlin-Spandau - Charlottenburg Nord";11;187363;;;;;;;;;;;;;;;;;;46757;;;;36932;;;;4856;;;;12146;;;;10542;;;;;;;;3960;;;;1815;;;;;;;;310;;;;224;;;;;;;;;;;;;;;;;;;;;;;;164;;;;;;;;85;;;;;;;;55;;;;7458;;;;460;;;;494;;;;;;;;;;;;550;;;;;;;;;;;;1038;;;;;;;;;;;;;;;;;;;;;;
242;"Berlin-Steglitz - Zehlendorf";11;220007;;;;;;;;;;;;;;;;;;64500;;;;44371;;;;11057;;;;12426;;;;23487;;;;;;;;4358;;;;1016;;;;;;;;169;;;;353;;;;;;;;;;;;;;;;;;;;;;;;140;;;;;;;;55;;;;;;;;50;;;;9257;;;;160;;;;331;;;;;;;;;;;;552;;;;;;;;;;;;1155;;;;;;;;;;;;;;;;;;;;;;
243;"Berlin-Charlottenburg - Wilmersdorf";11;197797;;;;;;;;;;;;;;;;;;49285;;;;41058;;;;10347;;;;13446;;;;23324;;;;;;;;3872;;;;639;;;;;;;;114;;;;242;;;;;;;;;;;;;;;;;;;;;;;;120;;;;;;;;45;;;;;;;;39;;;;7276;;;;205;;;;220;;;;;;;;;;;;457;;;;;;;;;;;;976;;;;;;;;;;;;;;;;;;;;;;
244;"Berlin-Tempelhof - Schöneberg";11;235259;;;;;;;;;;;;;;;;;;55275;;;;47834;;;;7134;;;;17937;;;;26941;;;;;;;;5526;;;;1588;;;;;;;;219;;;;342;;;;;;;;;;;;;;;;;;;;;;;;221;;;;;;;;73;;;;;;;;63;;;;7988;;;;473;;;;481;;;;;;;;;;;;759;;;;;;;;;;;;1578;;;;;;;;;;;;;;;;;;;;;;
245;"Berlin-Neukölln";11;205635;;;;;;;;;;;;;;;;;;40038;;;;36211;;;;4122;;;;19677;;;;19156;;;;;;;;5654;;;;2627;;;;;;;;216;;;;255;;;;;;;;;;;;;;;;;;;;;;;;126;;;;;;;;143;;;;;;;;80;;;;5832;;;;617;;;;454;;;;;;;;;;;;689;;;;;;;;;;;;2060;;;;;;;;;;;;;;;;;;;;;;
246;"Berlin-Friedrichshain-Kreuzberg - Prenzlauer Berg Ost";11;226240;;;;;;;;;;;;;;;;;;25474;;;;39784;;;;3579;;;;41639;;;;34420;;;;;;;;9612;;;;1140;;;;;;;;107;;;;426;;;;;;;;;;;;;;;;;;;;;;;;86;;;;;;;;209;;;;;;;;126;;;;4623;;;;594;;;;252;;;;;;;;;;;;477;;;;;;;;;;;;3142;;;;;;;;;;;;;;;;;;;;;;
247;"Berlin-Treptow - Köpenick";11;201629;;;;;;;;;;;;;;;;;;37170;;;;31204;;;;2904;;;;43118;;;;10787;;;;;;;;5176;;;;3795;;;;;;;;227;;;;328;;;;;;;;;;;;;;;;;;;;;;;;199;;;;;;;;191;;;;;;;;83;;;;8106;;;;88;;;;524;;;;;;;;;;;;894;;;;;;;;;;;;1487;;;;;;;;;;;;;;;;;;;;;;
248;"Berlin-Marzahn - Hellersdorf";11;203968;;;;;;;;;;;;;;;;;;33947;;;;25103;;;;2278;;;;43026;;;;5068;;;;;;;;3996;;;;5101;;;;;;;;243;;;;202;;;;;;;;;;;;;;;;;;;;;;;;181;;;;;;;;111;;;;;;;;102;;;;8319;;;;73;;;;1116;;;;;;;;;;;;752;;;;;;;;;;;;1114;;;;;;;;;;;;;;;;;;;;;;
249;"Berlin-Lichtenberg";11;205457;;;;;;;;;;;;;;;;;;31491;;;;27886;;;;2117;;;;47158;;;;7956;;;;;;;;5072;;;;3486;;;;;;;;220;;;;265;;;;;;;;;;;;;;;;;;;;;;;;172;;;;;;;;163;;;;;;;;117;;;;7480;;;;73;;;;595;;;;;;;;;;;;771;;;;;;;;;;;;1379;;;;;;;;;;;;;;;;;;;;;;
11;"Berlin";99;2505718;

250;"Prignitz - Ostprignitz-Ruppin - Havelland I";12;162624;;;;;;;;;;;;;;;;;;37305;;;;25638;;;;2299;;;;23048;;;;3532;;;;;;;;1967;;;;2329;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;82;;;;;;;;;;;;4761;;;;;;;;369;;;;;;;;;;;;772;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251;"Uckermark - Barnim I";12;160234;;;;;;;;;;;;;;;;;;36377;;;;22475;;;;2069;;;;23572;;;;3580;;;;;;;;1985;;;;2632;;;;;;;;159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;4776;;;;;;;;317;;;;;;;;;;;;877;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
252;"Oberhavel - Havelland II";12;250706;;;;;;;;;;;;;;;;;;63199;;;;41603;;;;5119;;;;32023;;;;9861;;;;;;;;3894;;;;4273;;;;;;;;304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;168;;;;;;;;;;;;11713;;;;;;;;787;;;;;;;;;;;;1577;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253;"Märkisch-Oderland - Barnim II";12;251583;;;;;;;;;;;;;;;;;;55340;;;;37323;;;;3816;;;;44996;;;;7213;;;;;;;;3968;;;;4246;;;;;;;;278;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;166;;;;;;;;;;;;10981;;;;;;;;861;;;;;;;;;;;;2135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
254;"Brandenburg an der Havel - Potsdam-Mittelmark I - Havelland III - Teltow-Fläming I";12;191014;;;;;;;;;;;;;;;;;;41489;;;;32002;;;;2780;;;;27921;;;;4578;;;;;;;;2388;;;;3187;;;;;;;;183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;131;;;;;;;;;;;;5929;;;;;;;;450;;;;;;;;;;;;933;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
255;"Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II";12;244812;;;;;;;;;;;;;;;;;;56449;;;;44723;;;;5900;;;;37294;;;;16241;;;;;;;;4814;;;;2067;;;;;;;;207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;265;;;;;;;;;;;;10282;;;;;;;;610;;;;;;;;;;;;1045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
256;"Dahme-Spreewald - Teltow-Fläming III - Oberspreewald-Lausitz I";12;240784;;;;;;;;;;;;;;;;;;57867;;;;37780;;;;4526;;;;36310;;;;7425;;;;;;;;3617;;;;4468;;;;;;;;579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;180;;;;;;;;;;;;10605;;;;;;;;713;;;;;;;;;;;;2381;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
257;"Frankfurt (Oder) - Oder-Spree";12;199341;;;;;;;;;;;;;;;;;;44301;;;;29631;;;;2922;;;;32862;;;;5266;;;;;;;;2911;;;;4058;;;;;;;;258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;198;;;;;;;;;;;;8562;;;;;;;;642;;;;;;;;;;;;1219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
258;"Cottbus - Spree-Neiße";12;187157;;;;;;;;;;;;;;;;;;44230;;;;26863;;;;2984;;;;27965;;;;4382;;;;;;;;2615;;;;3897;;;;;;;;204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;138;;;;;;;;;;;;8555;;;;;;;;525;;;;;;;;;;;;1355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
259;"Elbe-Elster - Oberspreewald-Lausitz II";12;177689;;;;;;;;;;;;;;;;;;46044;;;;23136;;;;2950;;;;25321;;;;3104;;;;;;;;2626;;;;4421;;;;;;;;196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;153;;;;;;;;;;;;6911;;;;;;;;531;;;;;;;;;;;;1122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;"Brandenburg";99;2065944;

260;"Schwerin - Ludwigslust-Parchim I - Nordwestmecklenburg I";13;220166;;;;;;;;;;;;;;;;;;59081;;;;31566;;;;3303;;;;29869;;;;6538;;;;;;;;2581;;;;3922;;;;;;;;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;164;;;;;;;;;;;;7736;;;;;;;;251;;;;;;;;;;;;1398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
261;"Ludwigslust-Parchim II - Nordwestmecklenburg II - Landkreis Rostock I";13;208976;;;;;;;;;;;;;;;;;;56922;;;;26641;;;;3006;;;;28803;;;;5448;;;;;;;;2126;;;;3465;;;;;;;;86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;153;;;;;;;;;;;;7138;;;;;;;;291;;;;;;;;;;;;1106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
262;"Rostock - Landkreis Rostock II";13;223885;;;;;;;;;;;;;;;;;;57188;;;;29010;;;;2911;;;;35792;;;;9874;;;;;;;;3588;;;;2484;;;;;;;;106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;292;;;;;;;;;;;;8196;;;;;;;;224;;;;;;;;;;;;1109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
263;"Vorpommern-Rügen - Vorpommern-Greifswald I";13;244880;;;;;;;;;;;;;;;;;;69683;;;;22630;;;;4067;;;;31930;;;;7372;;;;;;;;3527;;;;3525;;;;;;;;126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;161;;;;;;;;;;;;10159;;;;;;;;330;;;;;;;;;;;;1466;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
264;"Mecklenburgische Seenplatte I - Vorpommern-Greifswald II";13;234110;;;;;;;;;;;;;;;;;;65767;;;;21603;;;;2910;;;;31658;;;;4010;;;;;;;;2629;;;;6755;;;;;;;;155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;163;;;;;;;;;;;;8850;;;;;;;;337;;;;;;;;;;;;1523;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
265;"Mecklenburgische Seenplatte II - Landkreis Rostock III";13;218688;;;;;;;;;;;;;;;;;;60407;;;;22981;;;;2771;;;;28819;;;;4474;;;;;;;;2112;;;;3584;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;233;;;;;;;;;;;;6806;;;;;;;;260;;;;;;;;;;;;1402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Mecklenburg-Vorpommern";99;1350705;

266;"Nordsachsen";14;168695;;;;;;;;;;;;;;;;;;49473;;;;16970;;;;2912;;;;22696;;;;3144;;;;;;;;2141;;;;4272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;137;;;;;;;;104;;;;;;;;;;;;6762;;;;;;;;394;;;;;;;;;;;;1158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
267;"Leipzig I";14;210456;;;;;;;;;;;;;;;;;;50481;;;;25286;;;;4028;;;;29122;;;;9466;;;;;;;;4362;;;;3246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;408;;;;;;;;203;;;;;;;;;;;;8394;;;;;;;;489;;;;;;;;;;;;1309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
268;"Leipzig II";14;219865;;;;;;;;;;;;;;;;;;49553;;;;28778;;;;4583;;;;34302;;;;17075;;;;;;;;5897;;;;2207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;349;;;;;;;;221;;;;;;;;;;;;7702;;;;;;;;383;;;;;;;;;;;;1137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
269;"Leipzig-Land";14;220400;;;;;;;;;;;;;;;;;;68348;;;;22681;;;;4292;;;;29716;;;;4899;;;;;;;;2905;;;;4513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;172;;;;;;;;137;;;;;;;;;;;;9562;;;;;;;;495;;;;;;;;;;;;1485;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
270;"Meißen";14;207261;;;;;;;;;;;;;;;;;;64622;;;;18024;;;;5253;;;;26735;;;;5721;;;;;;;;3252;;;;5588;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;494;;;;;;;;136;;;;;;;;;;;;10195;;;;;;;;1282;;;;;;;;;;;;1887;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
271;"Bautzen I";14;223726;;;;;;;;;;;;;;;;;;69335;;;;18502;;;;4723;;;;30290;;;;4249;;;;;;;;3109;;;;6271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;202;;;;;;;;146;;;;;;;;;;;;10811;;;;;;;;905;;;;;;;;;;;;3470;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
272;"Görlitz";14;223614;;;;;;;;;;;;;;;;;;66106;;;;18839;;;;4185;;;;29380;;;;5044;;;;;;;;3259;;;;6360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;685;;;;;;;;172;;;;;;;;;;;;12331;;;;;;;;1023;;;;;;;;;;;;2577;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
273;"Sächsische Schweiz - Osterzgebirge";14;207752;;;;;;;;;;;;;;;;;;66673;;;;15865;;;;4655;;;;24848;;;;5158;;;;;;;;2980;;;;7370;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;522;;;;;;;;112;;;;;;;;;;;;11417;;;;;;;;670;;;;;;;;;;;;4705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
274;"Dresden I";14;233382;;;;;;;;;;;;;;;;;;68192;;;;26440;;;;5243;;;;32505;;;;13517;;;;;;;;6086;;;;3888;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;457;;;;;;;;179;;;;;;;;;;;;11814;;;;;;;;402;;;;;;;;;;;;2413;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
275;"Dresden II - Bautzen II";14;235691;;;;;;;;;;;;;;;;;;66092;;;;23943;;;;5405;;;;31059;;;;16304;;;;;;;;7508;;;;4590;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;400;;;;;;;;273;;;;;;;;;;;;11930;;;;;;;;439;;;;;;;;;;;;3250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
276;"Mittelsachsen";14;210677;;;;;;;;;;;;;;;;;;64971;;;;19070;;;;4933;;;;29525;;;;4703;;;;;;;;3042;;;;5305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;207;;;;;;;;139;;;;;;;;;;;;8997;;;;;;;;634;;;;;;;;;;;;1848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
277;"Chemnitz";14;201249;;;;;;;;;;;;;;;;;;52380;;;;23558;;;;3865;;;;31014;;;;7168;;;;;;;;3298;;;;3135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;170;;;;;;;;184;;;;;;;;;;;;8138;;;;;;;;537;;;;;;;;;;;;1081;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
278;"Chemnitzer Umland - Erzgebirgskreis II";14;191550;;;;;;;;;;;;;;;;;;59939;;;;19178;;;;3594;;;;26434;;;;4282;;;;;;;;2522;;;;4307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;158;;;;;;;;121;;;;;;;;;;;;9636;;;;;;;;504;;;;;;;;;;;;1760;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
279;"Erzgebirgskreis I";14;232499;;;;;;;;;;;;;;;;;;73098;;;;20114;;;;5828;;;;30741;;;;3964;;;;;;;;3008;;;;6398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;183;;;;;;;;133;;;;;;;;;;;;12119;;;;;;;;613;;;;;;;;;;;;2551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
280;"Zwickau";14;217679;;;;;;;;;;;;;;;;;;64872;;;;21686;;;;3924;;;;31061;;;;4653;;;;;;;;2589;;;;4664;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;384;;;;;;;;175;;;;;;;;;;;;8878;;;;;;;;478;;;;;;;;;;;;2690;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
281;"Vogtlandkreis";14;201934;;;;;;;;;;;;;;;;;;60466;;;;21885;;;;3836;;;;27617;;;;4569;;;;;;;;2603;;;;4322;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;148;;;;;;;;129;;;;;;;;;;;;9095;;;;;;;;488;;;;;;;;;;;;1537;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Sachsen";99;3406430;

282;"Altmark";15;172378;;;;;;;;;;;;;;;;;;44655;;;;20196;;;;2278;;;;26180;;;;3542;;;;;;;;1997;;;;2227;;;;;;;;;;;;147;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;141;;;;;;;;;;;;3826;;;;;;;;306;;;;;;;;;;;;722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
283;"Börde - Jerichower Land";15;228139;;;;;;;;;;;;;;;;;;60207;;;;27279;;;;3995;;;;30235;;;;4281;;;;;;;;2556;;;;2903;;;;;;;;;;;;232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;170;;;;;;;;;;;;5380;;;;;;;;458;;;;;;;;;;;;1630;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
284;"Harz";15;224917;;;;;;;;;;;;;;;;;;56619;;;;24407;;;;2961;;;;29875;;;;4716;;;;;;;;2255;;;;2651;;;;;;;;;;;;293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;136;;;;;;;;;;;;4924;;;;;;;;433;;;;;;;;;;;;929;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
285;"Magdeburg";15;244267;;;;;;;;;;;;;;;;;;56982;;;;31763;;;;3687;;;;36473;;;;8490;;;;;;;;3654;;;;2272;;;;;;;;;;;;348;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;280;;;;;;;;;;;;6355;;;;;;;;466;;;;;;;;;;;;1256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
286;"Dessau - Wittenberg";15;185954;;;;;;;;;;;;;;;;;;50633;;;;20354;;;;2892;;;;27136;;;;4703;;;;;;;;2160;;;;2799;;;;;;;;;;;;145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;;;;;;;;;;;;6050;;;;;;;;327;;;;;;;;;;;;1728;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
287;"Anhalt";15;236732;;;;;;;;;;;;;;;;;;57357;;;;23224;;;;3556;;;;35425;;;;3572;;;;;;;;2200;;;;3516;;;;;;;;;;;;164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;283;;;;;;;;;;;;6635;;;;;;;;389;;;;;;;;;;;;1848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
288;"Halle";15;219667;;;;;;;;;;;;;;;;;;53265;;;;25259;;;;4418;;;;34449;;;;10185;;;;;;;;3599;;;;2134;;;;;;;;;;;;297;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;317;;;;;;;;;;;;5879;;;;;;;;341;;;;;;;;;;;;1147;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
289;"Burgenland - Saalekreis";15;201043;;;;;;;;;;;;;;;;;;52194;;;;19850;;;;3374;;;;28933;;;;3732;;;;;;;;2097;;;;3920;;;;;;;;;;;;192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;151;;;;;;;;;;;;5234;;;;;;;;475;;;;;;;;;;;;1695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
290;"Mansfeld";15;217783;;;;;;;;;;;;;;;;;;53869;;;;22399;;;;3837;;;;33613;;;;3637;;;;;;;;2235;;;;3478;;;;;;;;;;;;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;;;;;;;;;;;;5378;;;;;;;;485;;;;;;;;;;;;1403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;"Sachsen-Anhalt";99;1930880;

291;"Eichsfeld - Nordhausen - Unstrut-Hainich-Kreis I";16;196621;;;;;;;;;;;;;;;;;;59234;;;;20182;;;;3661;;;;26322;;;;5293;;;;;;;;2366;;;;3767;;;;;;;;199;;;;1646;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;103;;;;;;;;;;;;6995;;;;;;;;;;;;;;;;;;;;2387;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
292;"Eisenach - Wartburgkreis - Unstrut-Hainich-Kreis II";16;192663;;;;;;;;;;;;;;;;;;51442;;;;21731;;;;3123;;;;28787;;;;5121;;;;;;;;2682;;;;5144;;;;;;;;254;;;;616;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;199;;;;;;;;;;;;6307;;;;;;;;;;;;;;;;;;;;2509;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
293;"Kyffhäuserkreis - Sömmerda - Weimarer Land I";16;191261;;;;;;;;;;;;;;;;;;49099;;;;19365;;;;3672;;;;30821;;;;4734;;;;;;;;3071;;;;4645;;;;;;;;302;;;;655;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;146;;;;;;;;;;;;7199;;;;;;;;;;;;;;;;;;;;1914;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
